"Date","Price","Open","High","Low","Vol.","Change %"
"12-01-2024","56,485.75","56,279.10","56,559.90","56,008.00","27.80M","0.46%"
"11-01-2024","56,228.55","56,476.40","56,688.00","56,123.80","17.67M","-0.21%"
"10-01-2024","56,348.95","56,575.60","56,794.85","56,134.65","17.38M","-0.40%"
"09-01-2024","56,573.10","56,868.30","56,996.25","56,487.65","16.98M","-0.18%"
"08-01-2024","56,672.85","57,718.85","57,748.35","56,636.45","28.26M","-1.72%"
"05-01-2024","57,667.35","57,945.10","57,966.70","57,455.85","24.11M","-0.06%"
"04-01-2024","57,703.90","57,470.90","57,922.20","57,327.25","27.42M","0.86%"
"03-01-2024","57,213.30","57,130.50","57,631.60","57,058.45","35.61M","0.01%"
"02-01-2024","57,209.50","57,427.40","57,430.00","56,763.70","21.78M","-0.14%"
"01-01-2024","57,292.35","57,127.55","57,503.15","56,899.40","19.10M","0.54%"
"29-12-2023","56,987.20","56,555.15","57,055.80","56,481.10","35.04M","0.85%"
"28-12-2023","56,504.50","55,866.75","56,580.70","55,789.05","39.13M","1.35%"
"27-12-2023","55,750.35","55,572.45","55,813.30","55,471.20","21.21M","0.48%"
"26-12-2023","55,484.40","55,271.75","55,556.75","55,189.85","16.10M","0.70%"
"22-12-2023","55,101.05","54,972.60","55,143.05","54,643.75","29.90M","0.54%"
"21-12-2023","54,803.30","54,350.20","54,940.35","53,970.60","34.27M","0.38%"
"20-12-2023","54,597.90","55,500.40","55,581.40","54,459.20","41.64M","-0.33%"
"19-12-2023","54,776.55","54,201.95","54,855.80","54,145.05","26.90M","1.41%"
"18-12-2023","54,017.05","54,070.90","54,122.25","53,911.35","24.51M","-0.31%"
"15-12-2023","54,186.20","54,542.05","54,585.75","53,963.25","29.44M","-0.32%"
"14-12-2023","54,361.45","54,560.85","54,564.00","53,990.10","27.38M","0.27%"
"13-12-2023","54,215.35","54,047.75","54,275.65","53,776.60","22.91M","0.70%"
"12-12-2023","53,837.00","54,093.00","54,372.80","53,738.80","20.16M","-0.26%"
"11-12-2023","53,976.90","53,790.45","54,021.25","53,558.80","17.15M","0.63%"
"08-12-2023","53,636.35","54,309.60","54,491.30","53,568.60","29.63M","-0.99%"
"07-12-2023","54,173.15","54,678.55","54,728.50","54,088.20","24.87M","-0.90%"
"06-12-2023","54,662.55","54,281.75","54,872.90","54,201.20","31.24M","1.02%"
"05-12-2023","54,110.90","54,476.50","54,557.70","54,039.60","26.72M","-0.23%"
"04-12-2023","54,237.70","54,313.60","54,397.55","53,967.40","25.49M","0.72%"
"01-12-2023","53,851.45","53,199.25","53,917.50","53,131.65","30.11M","1.58%"
"30-11-2023","53,013.80","52,697.85","53,193.35","52,661.30","40.56M","0.55%"
"29-11-2023","52,725.45","52,592.75","52,775.70","52,533.00","26.25M","0.45%"
"28-11-2023","52,489.50","52,670.20","52,691.90","52,402.40","20.70M","-0.17%"
"24-11-2023","52,576.90","52,889.50","52,958.10","52,548.60","14.13M","-0.47%"
"23-11-2023","52,823.05","52,713.65","52,888.70","52,662.45","15.38M","0.25%"
"22-11-2023","52,691.20","52,551.45","52,711.50","52,312.30","12.40M","0.43%"
"21-11-2023","52,466.20","52,546.55","52,651.60","52,377.70","13.84M","-0.16%"
"20-11-2023","52,550.10","52,842.10","52,887.90","52,431.10","12.33M","-0.39%"
